id,throughput_mbps,latency_ms,jitter_ms,packet_loss_pct,avg_packet_size_B,burst_ratio,flow_duration_s,signal_strength_dBm,packets_per_second,retransmission_rate,traffic_class
19,5.5104,27.4179,2.6663,0.4208,793.0626,0.7641,1521.8246,-65.0773,1.1877,0.2114,Video_Conferencing
20,84.0797,31.6389,1.8487,0.1996,1508.2705,0.9271,59.3415,-61.8531,1584.7974,0.074,File_Transfer
21,4.3104,31.0537,2.154,0.3873,1038.9434,0.7055,1263.8251,-66.3114,86.0933,0.3396,Video_Conferencing
22,0.1425,9.8215,0.6421,0.3049,156.135,0.2782,143.8218,-77.9111,8.7024,0.0221,VoIP
23,0.0023,124.4119,7.7087,1.3668,43.4871,0.1257,8.3345,-80.6851,0.2831,0.9983,IoT_Sensor
24,3.92,30.7247,1.4838,0.6348,754.5466,0.6829,1462.9801,-73.3786,10.9693,0.0293,Video_Conferencing
25,59.286,22.5311,4.0132,0.0643,1475.7733,0.8853,98.4419,-68.0649,117.8517,0.0,File_Transfer
26,43.7542,42.8481,1.1006,0.0981,1433.2681,0.8744,79.4375,-76.7206,327.7608,0.0,File_Transfer
27,56.6315,17.084,3.5593,0.1364,1516.549,0.8883,66.5475,-68.8359,281.6984,0.0286,File_Transfer
28,11.5397,52.1566,4.1281,1.7042,654.3154,0.3772,41.1174,-75.1025,138.5208,0.622,Web_Browsing
29,4.1414,34.152,1.8952,0.5623,814.2265,0.5593,2053.8771,-62.7402,10.4642,0.1258,Video_Conferencing
30,0.008,86.726,6.1208,3.0051,56.1982,0.0994,7.6408,-103.9837,2.6881,0.7765,IoT_Sensor
31,41.4465,31.4176,3.3369,0.1191,1520.9897,0.8992,36.8915,-65.1767,833.0213,0.0,File_Transfer
32,91.8908,16.027,2.3846,0.7091,1418.5835,0.6545,347.9348,-77.113,1265.1608,0.2544,Video_Streaming
33,91.4623,10.7008,2.0454,0.2845,1430.3467,0.8396,314.7568,-70.8506,86.9543,0.2816,Video_Streaming
34,41.8355,37.7765,2.0136,0.1723,1485.466,0.8339,54.1885,-72.1751,643.1944,0.1694,File_Transfer
35,36.0693,10.0831,2.1622,0.1232,1555.6983,0.973,83.791,-67.0168,2590.025,0.5507,File_Transfer
36,0.0087,145.2996,7.1897,2.4284,87.4472,0.0645,6.7157,-82.5228,12.3054,0.8525,IoT_Sensor
37,1.9797,25.1951,1.3405,0.4519,154.4314,0.6811,629.8094,-65.453,24.0484,0.1085,Online_Gaming
38,2.9921,15.2464,2.357,0.2675,204.0911,0.5085,629.1108,-61.8138,2.0483,0.0392,Online_Gaming
39,3.7346,30.1009,1.4431,0.3148,967.181,0.7104,2259.8302,-63.686,2.012,0.0972,Video_Conferencing
40,79.9659,17.5546,1.4038,0.383,1319.4282,0.6925,373.6375,-68.2379,349.4672,0.1196,Video_Streaming
41,3.7757,15.4787,2.2494,0.4509,200.9864,0.593,508.4999,-60.2282,10.7713,0.1386,Online_Gaming
42,4.0802,26.2195,1.8983,0.1204,790.4094,0.5641,1743.9064,-76.2461,22.1329,0.1036,Video_Conferencing
43,4.2374,46.9298,6.7847,1.4869,860.798,0.5402,47.2471,-74.298,78.0389,0.5773,Web_Browsing
44,0.0837,5.9138,0.6953,0.3595,156.772,0.3428,171.4928,-76.0845,8.3688,0.0,VoIP
45,63.0484,21.4468,2.3759,0.477,1283.8267,0.6681,305.4776,-68.1643,133.3764,0.1663,Video_Streaming
46,35.4015,37.8398,3.6529,0.1908,1524.0671,0.9983,57.9791,-69.2312,210.1597,0.1462,File_Transfer
47,1.8396,20.3381,2.0988,0.2738,1205.4642,0.7317,1875.8083,-67.0903,17.4426,0.073,Video_Conferencing
48,96.9002,13.4867,1.4641,0.5875,1422.4289,0.5709,331.1462,-71.0912,533.3085,0.2472,Video_Streaming
49,3.6436,13.2664,1.0446,0.3352,158.074,0.3318,476.7334,-68.7931,44.6728,0.16,Online_Gaming
50,0.1735,7.939,1.148,0.1528,154.8097,0.3712,167.1075,-80.5991,14.6823,0.1931,VoIP
51,82.6821,24.035,2.2549,0.7494,1439.6409,0.7448,425.5001,-64.5323,283.7798,0.4222,Video_Streaming
52,43.7291,24.3079,3.134,0.115,1486.3858,0.8823,15.5784,-67.5329,267.6853,0.0,File_Transfer
53,2.9607,13.1636,1.9865,0.2723,98.002,0.3302,742.6364,-71.4118,9.1669,0.3174,Online_Gaming
54,6.3854,38.5363,5.5817,1.1324,848.2061,0.5662,18.4132,-63.39,9.3367,0.5269,Web_Browsing
55,1.5998,41.689,3.0871,0.8672,688.5468,0.3827,32.2996,-65.4704,5.2806,0.4207,Web_Browsing
56,0.0152,87.0818,11.5576,2.1957,42.968,0.0763,13.2241,-95.8624,16.7438,0.9833,IoT_Sensor
57,3.0976,18.9322,1.8614,0.2719,113.0028,0.4286,806.8109,-71.201,30.3794,0.0,Online_Gaming
58,70.7497,17.5938,3.0044,0.4891,1430.4436,0.5953,310.9434,-69.8172,62.1933,0.3771,Video_Streaming
59,3.5264,15.9631,1.0489,0.31,138.9652,0.4166,475.2071,-64.6805,189.3752,0.0894,Online_Gaming
60,0.9547,20.0234,2.7173,0.3934,1061.5192,0.6255,2159.6306,-75.2573,31.687,0.1996,Video_Conferencing
61,3.6187,14.4431,1.2388,0.1354,212.5378,0.5281,681.4596,-63.5398,18.3419,0.35,Online_Gaming
62,80.7345,18.419,1.7227,0.1286,1332.6148,0.6969,310.0923,-71.4857,3254.3289,0.2408,Video_Streaming
63,120.739,16.6404,1.8602,0.6506,1530.7,0.7215,260.199,-71.6407,1512.1909,0.2329,Video_Streaming
64,4.6642,17.789,1.5471,0.3273,100.8785,0.5304,650.5704,-67.0093,89.6387,0.0,Online_Gaming
65,5.1943,24.7477,1.7883,0.4253,933.9944,0.7868,1899.9547,-72.6049,68.4814,0.408,Video_Conferencing
66,97.6273,12.2819,2.2212,0.3827,1254.7242,0.7703,304.2298,-68.4645,440.9323,0.4421,Video_Streaming
67,3.6388,22.2338,1.7592,0.2594,298.4412,0.5275,648.9022,-67.1794,51.5416,0.0,Online_Gaming
68,18.3593,38.8312,4.1594,0.1642,1485.7728,0.9031,60.8466,-70.182,173.0103,0.0,File_Transfer
69,2.2686,12.4339,1.8606,0.3081,159.5488,0.6124,698.3363,-67.6851,12.5369,0.0938,Online_Gaming
70,3.0062,14.6646,2.2361,0.2556,267.1,0.3969,388.0071,-70.6247,44.701,0.14,Online_Gaming
71,0.069,8.4214,1.0287,0.0138,170.0862,0.3341,106.1196,-65.9966,1.4735,0.2205,VoIP
72,0.0809,5.1901,1.2676,0.1783,187.6981,0.2495,107.6679,-71.3995,3.5884,0.219,VoIP
73,0.0092,106.3785,16.1624,2.6586,81.702,0.0816,8.4115,-82.7737,4.8047,1.0,IoT_Sensor
74,0.0905,8.9426,0.9779,0.2955,175.0063,0.272,172.2978,-82.0536,4.6973,0.1527,VoIP
75,101.3383,15.529,1.3449,0.787,1382.2523,0.5876,347.5708,-63.1955,883.0938,0.3883,Video_Streaming
76,5.0887,20.0852,0.8012,0.4047,796.8583,0.5869,1430.727,-72.6734,37.4314,0.1511,Video_Conferencing
77,68.1211,25.2242,4.3524,0.0956,1408.1904,0.9084,71.6096,-69.8219,279.3116,0.0294,File_Transfer
78,89.4399,13.8259,2.5637,0.6991,1441.8499,0.7417,278.8142,-69.4879,105.7627,0.0588,Video_Streaming
79,1.8001,14.7089,2.3985,0.2185,183.2342,0.563,606.1436,-57.2555,23.4071,0.0793,Online_Gaming
80,1.8168,9.8302,2.2259,0.2929,145.9722,0.6191,662.674,-64.6476,89.7726,0.1762,Online_Gaming
81,0.0796,5.5917,0.9899,0.2181,126.4717,0.3048,125.6377,-79.7226,5.6116,0.061,VoIP
82,0.0661,10.1265,1.0881,0.2397,141.5147,0.2718,137.2774,-69.0453,0.1236,0.0617,VoIP
83,0.0914,9.7076,1.5256,0.324,147.7928,0.2636,87.5346,-70.1294,18.9726,0.2182,VoIP
84,2.7278,14.5773,1.1465,0.1976,149.8811,0.4352,729.4257,-76.1205,184.6548,0.0991,Online_Gaming
85,7.4571,71.8031,2.0591,0.5062,610.5184,0.4388,22.119,-65.1053,12.7793,0.6038,Web_Browsing
86,4.188,22.2501,1.9031,0.5135,677.2717,0.5978,1451.8094,-67.2023,8.859,0.2132,Video_Conferencing
87,3.2857,16.1734,2.2053,0.4371,118.3838,0.6209,585.641,-61.981,87.6181,0.1601,Online_Gaming
88,82.6504,14.4445,2.1604,0.6653,1382.959,0.6327,219.3458,-79.447,4720.0962,0.2883,Video_Streaming
89,0.0934,4.1201,0.8353,0.2227,167.4107,0.2724,95.5122,-76.7216,3.4778,0.0,VoIP
90,2.5522,59.4231,4.8926,0.5594,761.0722,0.3235,30.5339,-74.7736,32.327,0.4597,Web_Browsing
91,80.3598,21.9563,1.9784,0.3463,1126.0467,0.7052,264.2177,-69.6502,1524.1515,0.3949,Video_Streaming
92,3.9349,16.4563,1.9587,0.3172,187.4955,0.5152,544.1228,-69.1185,3.1126,0.0517,Online_Gaming
93,0.0098,68.2221,10.3182,1.515,83.1097,0.087,10.4216,-85.596,37.0241,1.0,IoT_Sensor
94,2.021,18.7772,2.2631,0.3178,319.847,0.4471,748.9736,-74.1092,69.7834,0.0,Online_Gaming
95,2.0833,15.6519,1.2501,0.2708,155.405,0.4854,609.1326,-71.88,51.4044,0.088,Online_Gaming
96,0.1277,9.321,0.441,0.0766,181.7247,0.251,81.7148,-78.124,1.8097,0.1488,VoIP
97,3.9196,21.9153,1.3466,0.2729,199.0726,0.396,455.864,-65.151,114.1526,0.0454,Online_Gaming
98,0.0136,43.3159,11.499,0.9172,42.6753,0.0908,9.5606,-90.0477,10.3745,0.9983,IoT_Sensor
99,0.1373,11.5857,1.3532,0.1197,149.8705,0.2626,183.1676,-70.2064,0.4781,0.0777,VoIP
100,113.1527,24.432,1.2164,0.6578,1347.7588,0.5945,289.8394,-68.0642,3254.22,0.0839,Video_Streaming
101,5.6806,12.4174,2.4738,0.4596,761.2288,0.5499,1565.3213,-73.3715,21.5494,0.2877,Video_Conferencing
102,70.5385,32.3396,3.84,0.0953,1499.2502,0.8167,48.3522,-67.1661,382.0975,0.0783,File_Transfer
103,4.4635,14.8517,2.477,0.4068,987.4388,0.6153,1343.6616,-64.0472,2.7481,0.2151,Video_Conferencing
104,43.1655,34.4877,3.7691,0.1487,1491.1428,0.9474,87.0418,-73.8126,896.8427,0.0,File_Transfer
105,82.5484,16.8892,2.7952,0.462,1286.1673,0.775,313.7633,-75.8588,614.2057,0.1411,Video_Streaming
106,67.3508,20.2674,2.7951,0.8683,1406.3978,0.7361,228.7484,-72.7601,861.2081,0.2166,Video_Streaming
107,4.8242,56.6017,7.5502,2.0867,1258.1448,0.3721,38.3084,-68.7538,64.6106,0.5591,Web_Browsing
108,0.0068,11.496,1.2494,0.5065,146.3246,0.3565,139.0186,-77.2471,6.6976,0.045,VoIP
109,0.1561,10.6434,1.1788,0.2214,162.8326,0.3272,121.8071,-80.1579,4.7872,0.1282,VoIP
110,0.0713,8.324,0.4013,0.2212,148.5406,0.3136,90.3394,-75.8732,10.9548,0.1055,VoIP
111,2.9143,33.4827,1.1691,0.1609,1259.119,0.6002,1149.1349,-60.8688,48.2676,0.2559,Video_Conferencing
112,0.0104,133.9201,9.2967,1.2166,59.0981,0.1043,8.6646,-91.8726,14.6476,1.0,IoT_Sensor
113,9.029,43.4808,2.5141,0.5184,294.5943,0.2602,24.2596,-74.7729,60.8737,0.6223,Web_Browsing
114,115.7903,18.1189,1.8289,0.577,1376.8553,0.7554,371.7591,-72.0584,466.462,0.4079,Video_Streaming
115,2.0105,16.3637,1.5287,0.1947,242.924,0.5382,405.3657,-58.9902,19.8638,0.0597,Online_Gaming
116,5.3265,22.4292,2.1958,0.3626,889.504,0.6177,1984.2832,-69.9981,28.6906,0.1035,Video_Conferencing
117,55.9474,16.3386,2.8612,1.0269,1376.274,0.912,296.9194,-62.4031,291.7488,0.0694,Video_Streaming
118,3.1166,17.8922,1.1557,0.1458,204.0945,0.4987,549.1581,-64.613,13.5051,0.2575,Online_Gaming
119,5.7944,40.3819,2.3939,0.2683,1058.7648,0.5944,1809.3435,-64.9015,25.4586,0.2363,Video_Conferencing
120,0.1396,11.3567,0.7388,0.1663,132.59,0.2676,119.4108,-76.2393,3.6926,0.0904,VoIP
121,0.1138,10.1069,0.3966,0.262,186.1937,0.255,110.1291,-77.0187,18.175,0.0,VoIP
122,0.0018,124.3175,10.7332,1.576,79.0757,0.1145,7.2194,-84.4609,2.1622,1.0,IoT_Sensor
123,2.8606,62.8765,2.5016,1.6756,635.5554,0.4207,22.9851,-77.3371,45.5793,0.6142,Web_Browsing
124,3.1172,13.6188,1.909,0.3966,191.4775,0.5165,451.423,-75.6416,22.4069,0.2667,Online_Gaming
125,4.4062,24.9634,1.8223,0.5592,750.153,0.6249,1984.7078,-71.344,3.8754,0.2943,Video_Conferencing
126,0.0109,133.0431,8.7551,1.8231,67.7061,0.1084,8.8765,-93.5303,0.8598,0.879,IoT_Sensor
127,78.8254,16.0106,2.1832,0.6651,1497.4752,0.7283,253.4756,-72.4245,492.4417,0.2774,Video_Streaming
128,3.3146,29.3271,2.0902,0.3591,722.4411,0.6726,2187.9068,-72.7983,29.5494,0.2572,Video_Conferencing
129,90.8924,17.2841,2.5219,0.628,1500.91,0.5747,247.0281,-69.5054,864.2152,0.4387,Video_Streaming
130,4.3736,69.8698,5.4693,0.0383,561.392,0.3797,36.2171,-76.1799,40.7588,0.3491,Web_Browsing
131,0.1348,13.7415,1.5277,0.2198,157.6255,0.3023,112.9638,-77.5984,1.0001,0.0135,VoIP
132,2.6809,12.321,1.0392,0.2267,239.5394,0.6279,677.961,-66.1977,5.4871,0.2534,Online_Gaming
133,0.0,6.895,0.9884,0.2,162.3287,0.3176,122.4867,-76.3412,10.4303,0.3868,VoIP
134,92.067,33.5537,2.5795,0.1357,1350.1062,0.8278,269.2203,-66.687,2350.9222,0.3071,Video_Streaming
135,4.9814,20.8753,2.239,0.5644,924.6122,0.7048,1744.5797,-69.7203,71.734,0.3544,Video_Conferencing
136,7.4891,59.3966,4.9987,0.2766,664.8479,0.5397,31.4785,-68.803,158.1146,0.4643,Web_Browsing
137,2.6127,41.3876,0.174,1.0415,760.2706,0.4884,31.493,-67.2706,39.8041,0.38,Web_Browsing
138,0.109,15.1206,1.0569,0.2308,176.7533,0.3109,96.0812,-76.0628,4.8,0.1542,VoIP
139,11.8805,54.0815,5.5986,1.1028,674.1738,0.4427,42.5081,-79.2838,25.8932,0.6796,Web_Browsing
140,89.2874,20.1929,2.0976,0.7516,1448.6819,0.8299,262.9812,-63.0324,351.7437,0.2194,Video_Streaming
141,4.3032,63.0659,4.8533,1.0041,755.6997,0.3231,40.9066,-79.5307,70.1506,0.5231,Web_Browsing
142,0.0105,103.4824,15.513,2.5856,66.6773,0.1076,7.8674,-66.2799,4.2631,1.0,IoT_Sensor
143,2.8739,23.3896,1.2591,0.5109,175.5103,0.5357,547.1538,-64.5744,19.5118,0.0705,Online_Gaming
144,0.0158,96.1669,9.0086,2.5546,51.9864,0.0911,11.0538,-91.6113,4.3172,1.0,IoT_Sensor
145,3.2411,14.7615,2.1953,0.3902,289.3044,0.6081,590.6034,-69.6713,2.777,0.1805,Online_Gaming
146,0.0883,16.0261,0.8017,0.2758,188.1488,0.354,103.3437,-74.5501,0.1538,0.0674,VoIP
147,3.561,27.7406,1.4677,0.369,1245.6908,0.5373,1588.881,-73.9821,105.417,0.1127,Video_Conferencing
148,4.8375,48.3607,5.8194,1.7068,897.3861,0.3779,23.5516,-73.799,9.0707,0.5011,Web_Browsing
149,0.0074,151.8131,11.2559,2.9822,89.4262,0.097,12.4941,-89.9609,2.1339,0.9942,IoT_Sensor
150,84.748,8.5963,1.78,0.4873,1291.3926,0.7558,248.0581,-78.2576,373.6304,0.1596,Video_Streaming
151,0.0061,108.9339,10.5661,0.9493,74.5993,0.1394,10.4253,-76.8136,11.7123,1.0,IoT_Sensor
152,37.366,24.9568,4.7966,0.1072,1529.5585,0.9043,82.3347,-67.8822,155.6894,0.0,File_Transfer
153,0.0055,100.0806,12.4707,3.8383,56.5422,0.057,10.7227,-93.7225,3.0457,0.9822,IoT_Sensor
154,72.8059,10.3152,2.1708,0.6395,1524.9023,0.6218,288.6753,-72.4235,878.1203,0.367,Video_Streaming
155,0.0116,79.2094,10.8636,0.9243,58.0483,0.0853,12.2183,-77.7216,0.2444,1.0,IoT_Sensor
156,9.1911,34.7972,1.822,1.4816,1063.0113,0.2385,61.0838,-63.1233,32.1934,0.3946,Web_Browsing
157,4.0509,9.0405,1.891,0.2986,226.0329,0.4009,873.4798,-69.2315,21.5693,0.0679,Online_Gaming
158,62.1155,38.46,3.3664,0.1034,1493.8409,0.9372,49.9965,-70.8363,180.3861,0.0356,File_Transfer
159,69.4652,24.1552,2.1729,0.4147,1506.0327,0.7696,350.8724,-76.5201,119.137,0.1352,Video_Streaming
160,2.5217,16.6111,1.465,0.1747,127.6689,0.5208,276.812,-70.8405,0.6391,0.1168,Online_Gaming
161,0.6461,25.5121,3.619,1.7004,992.5954,0.2925,23.5092,-76.4735,54.9472,0.5388,Web_Browsing
162,80.7267,18.7805,2.4395,0.0802,1508.145,0.6194,364.7474,-72.6751,50.6496,0.2848,Video_Streaming
163,1.4692,11.2305,1.2502,0.1032,215.4116,0.5729,609.5587,-59.5206,41.7712,0.1301,Online_Gaming
164,2.5561,9.4627,1.2772,0.3157,229.8568,0.5285,405.7934,-69.299,24.1476,0.0819,Online_Gaming
165,26.5125,29.6246,2.4138,0.0891,1466.8869,0.9141,69.0005,-70.6677,510.1668,0.0,File_Transfer
166,3.3378,28.943,2.4366,0.437,1086.0479,0.4642,1819.8751,-72.5068,30.0777,0.2192,Video_Conferencing
167,2.6943,9.7569,1.0228,0.402,189.6073,0.4117,569.7699,-61.2367,7.4222,0.2639,Online_Gaming
168,3.4577,22.3042,2.6046,0.4506,1064.9273,0.5631,1851.8679,-67.5103,47.9211,0.2854,Video_Conferencing
169,0.0103,136.8452,11.659,2.0492,60.2075,0.1063,8.6871,-71.6933,2.1855,1.0,IoT_Sensor
170,3.6219,26.8779,1.5452,0.3323,815.7291,0.5211,2346.327,-72.0226,3.1134,0.3602,Video_Conferencing
171,2.6513,40.4708,7.7784,1.3667,540.7041,0.3455,40.3634,-66.7554,56.9429,0.5391,Web_Browsing
172,4.4106,34.1076,2.0886,0.468,803.8581,0.5474,1855.7431,-72.6023,77.2675,0.4066,Video_Conferencing
173,3.2633,18.4235,1.5669,0.2734,271.411,0.5303,455.4933,-63.2139,3.9417,0.0597,Online_Gaming
174,4.019,28.7108,1.9224,0.431,813.7262,0.7627,1809.1553,-72.3428,82.6218,0.2331,Video_Conferencing
175,35.1682,36.2571,3.5832,0.0846,1531.7894,0.9625,52.2101,-74.6749,107.4559,0.0,File_Transfer
176,3.3568,13.0813,1.334,0.3095,289.7815,0.5707,656.3275,-65.6542,24.2212,0.0368,Online_Gaming
177,88.9412,26.574,2.1299,0.4439,1287.5071,0.6189,286.3519,-72.3544,578.8693,0.4235,Video_Streaming
178,79.3276,16.8597,0.9327,0.2213,1453.1223,0.7488,343.3364,-74.7353,715.4862,0.3572,Video_Streaming
179,0.0137,114.0404,9.6512,1.8613,72.8339,0.1296,6.6195,-80.11,7.9399,1.0,IoT_Sensor
180,0.0125,100.813,9.1204,2.2759,54.1905,0.1023,7.7027,-83.9611,22.8922,1.0,IoT_Sensor
181,1.9798,11.8061,1.8696,0.2161,224.8014,0.3986,627.436,-63.8098,33.562,0.2212,Online_Gaming
182,3.2322,25.7663,1.6135,0.3408,258.1486,0.6378,498.7741,-68.1021,8.0851,0.3001,Online_Gaming
183,5.7366,44.3959,4.4427,0.7249,786.3068,0.4671,28.4548,-73.9231,27.3035,0.486,Web_Browsing
184,87.6609,24.1456,2.3885,0.3713,1507.5723,0.895,268.7028,-70.8626,268.515,0.2837,Video_Streaming
185,8.1521,49.4559,6.321,1.4429,826.3236,0.4703,45.5482,-65.0198,372.8098,0.4856,Web_Browsing
186,71.8471,16.4395,2.141,0.1934,1532.8479,0.7268,362.3552,-73.6813,212.8193,0.0,Video_Streaming
187,1.6639,17.9839,0.7658,0.359,205.4466,0.3819,732.5072,-65.4602,17.7133,0.2704,Online_Gaming
188,2.047,66.6501,6.9794,0.251,924.7982,0.3639,15.8223,-69.3768,25.476,0.6181,Web_Browsing
189,5.1389,32.8477,8.9439,1.5528,434.1578,0.4307,17.7905,-71.7299,126.3422,0.5292,Web_Browsing
190,0.8354,30.2662,2.8189,1.2664,721.6967,0.2324,33.9025,-74.5511,11.7123,0.2947,Web_Browsing
191,3.6848,15.2418,1.1404,0.2173,229.6397,0.5708,607.3621,-67.4139,62.3935,0.0194,Online_Gaming
192,95.7159,14.2127,2.3294,0.319,1598.226,0.6315,429.2081,-62.4894,1311.2539,0.0895,Video_Streaming
193,0.0034,121.1668,8.2632,3.4213,30.5779,0.1003,12.2603,-83.9262,3.6488,0.953,IoT_Sensor
194,6.3634,53.4866,2.7551,1.1936,762.5824,0.4787,32.7136,-73.9734,49.4379,0.6035,Web_Browsing
195,42.5067,51.945,3.6107,0.1391,1557.2963,0.8307,79.4433,-71.6792,1127.2751,0.0464,File_Transfer
196,0.1262,9.4189,1.4339,0.2573,143.8746,0.2571,110.5353,-83.4545,2.6848,0.0383,VoIP
197,81.1993,28.6982,2.0523,0.1487,1439.8982,0.6191,377.0307,-66.9882,414.4345,0.3944,Video_Streaming
198,0.0112,137.9267,11.3882,0.4355,59.2338,0.0985,9.5658,-88.8529,2.6367,1.0,IoT_Sensor
199,0.102,4.9752,1.1984,0.2415,173.7812,0.2897,104.8892,-76.028,5.2722,0.0826,VoIP
200,3.8792,24.3243,2.0006,0.3525,1060.0195,0.5772,2372.9131,-72.4297,18.622,0.2085,Video_Conferencing
201,0.0853,6.1149,0.954,0.2123,154.3886,0.3141,87.0042,-77.0668,79.8776,0.1458,VoIP
202,0.1067,7.6405,1.0895,0.235,175.3937,0.2517,116.1747,-79.4264,1.5729,0.0411,VoIP
203,0.0056,64.1168,12.9546,2.6809,65.5532,0.0875,6.6249,-78.7894,7.0702,0.965,IoT_Sensor
204,2.2196,19.9785,1.4346,0.3585,200.1543,0.5543,678.442,-72.2275,10.4377,0.1468,Online_Gaming
205,50.2855,12.9069,4.391,0.1101,1463.4498,0.8648,49.5504,-73.0968,225.8053,0.0,File_Transfer
206,0.0421,13.6052,1.1107,0.2456,145.5702,0.2441,78.0784,-61.1276,8.6389,0.0,VoIP
207,3.4579,14.1122,0.7114,0.5811,188.8759,0.452,609.9818,-66.9381,67.2979,0.1692,Online_Gaming
208,0.0065,160.6435,10.7101,1.8189,88.7991,0.112,6.8111,-87.2673,16.4259,1.0,IoT_Sensor
209,3.2727,23.7351,1.3772,0.1838,817.1624,0.5975,1569.8,-68.5456,78.5151,0.259,Video_Conferencing
210,72.2013,22.4538,2.1942,0.2799,1352.9178,0.7839,376.3343,-69.7554,221.7088,0.3319,Video_Streaming
211,72.7934,22.5815,1.6377,0.5103,1366.7557,0.8458,267.4752,-65.897,630.6479,0.1836,Video_Streaming
212,2.7848,19.7422,1.7205,0.2588,182.5049,0.6362,396.6779,-75.1716,7.2599,0.156,Online_Gaming
213,0.0,11.6849,1.2998,0.1447,162.7972,0.3555,103.6333,-80.7293,2.9609,0.1988,VoIP
214,0.0545,10.5175,0.6805,0.3412,182.4949,0.3507,93.5665,-71.4578,0.8496,0.0892,VoIP
215,2.9869,17.7583,1.2147,0.262,156.0866,0.5758,451.5082,-73.4463,37.6142,0.1015,Online_Gaming
216,0.0776,8.4828,0.84,0.2749,158.6939,0.4199,137.1046,-63.8627,12.1822,0.0238,VoIP
217,44.414,24.8522,2.4296,0.1215,1508.3171,0.7902,68.2609,-68.5316,851.507,0.2363,File_Transfer
218,0.0183,105.8058,5.9574,3.7178,23.7378,0.0914,11.6869,-80.444,6.0319,0.9006,IoT_Sensor
219,48.0409,27.614,1.3707,0.0418,1541.5764,0.8278,99.3126,-67.4153,840.383,0.1489,File_Transfer
220,65.0592,9.9644,5.2437,0.09,1363.9212,0.8784,73.3134,-70.0191,405.9445,0.0481,File_Transfer
221,5.4178,25.3329,2.7318,0.2584,684.758,0.6686,1288.5711,-69.5998,112.2646,0.1819,Video_Conferencing
222,4.0533,39.719,2.619,1.4699,883.2377,0.3062,20.945,-70.5438,13.8705,0.6835,Web_Browsing
223,0.1986,7.0696,1.0137,0.1732,159.8176,0.3,128.864,-73.1577,1.5321,0.1494,VoIP
224,95.525,15.4428,2.6296,0.5487,1280.9657,0.4461,364.6487,-73.9848,529.8133,0.2077,Video_Streaming
225,4.5841,27.0408,0.874,0.1498,1045.5953,0.7092,2390.0533,-68.5753,17.762,0.2079,Video_Conferencing
226,2.747,13.1,1.4763,0.2273,147.6387,0.4668,599.0963,-64.0772,86.8823,0.3138,Online_Gaming
227,4.7872,18.4894,1.0813,0.2538,820.3772,0.5267,1646.5566,-76.0408,27.254,0.1307,Video_Conferencing
228,3.3365,59.2416,6.4641,1.6205,581.0882,0.3566,33.596,-79.6033,66.1237,0.5136,Web_Browsing
229,7.5098,55.8234,6.9132,1.1977,1005.3974,0.3911,32.3753,-76.1477,45.4854,0.4435,Web_Browsing
230,8.3461,37.1794,5.1392,1.0482,1020.6153,0.1749,43.8213,-67.0,2.5552,0.565,Web_Browsing
